Screaming Circuits SMD component position file.,,,,
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.,,,,
,,,,
"Centroid Data for pc board: ""ArachnioDue.brd"" as of: 5/23/2015 11:20:07 PM",,,,
Measurements are in inches. Comma delimited,,,,
Only surface mount components included,,,,
,,,,
RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,0.28,0.675,0
C2,Top,0.5,0.66,270
C3,Bottom,0.495,0.44,90
C4,Bottom,0.56,0.44,90
C5,Top,0.56,0.66,270
C6,Bottom,0.5,0.68,270
C7,Bottom,0.42,0.86,0
C8,Bottom,0.54,0.1,270
C9,Bottom,0.14,0.1,270
C10,Bottom,0.42,0.8,0
C11,Top,0.56,0.9,270
C12,Top,0.56,0.77,270
C13,Top,0.36,1.135,90
C14,Bottom,0.42,0.92,0
C15,Top,0.32,0.665,270
C16,Top,0.425,1.53,270
C17,Top,0.525,1.425,180
C18,Top,0.49,1.96,270
C19,Bottom,0.26,1.5,90
C20,Top,0.44,0.66,270
C21,Top,0.46,1.135,90
C22,Top,0.14,0.82,270
C23,Bottom,0.28,0.92,180
C24,Bottom,0.28,0.86,180
C25,Bottom,0.5,1.78,270
C26,Bottom,0.38,1.78,270
C27,Top,0.255,1.81,180
C28,Top,0.255,1.69,180
C29,Top,0.58,1.8,270
CN1,Top,0.35,0.08,90
D1,Bottom,0.2,0.26,270
D2,Bottom,0.54,1.34,90
ERASE,Top,0.22,1.34,0
F1,Bottom,0.36,0.1,0
L,Top,0.26,0.58,0
L1,Bottom,0.56,0.68,90
ON,Top,0.2,0.58,0
Q1,Top,0.38,0.56,0
R1,Top,0.48,1.24,0
R2,Bottom,0.2,0.1,90
R3,Top,0.58,1.96,90
R5,Top,0.2,0.48,90
R7,Top,0.14,1.7,90
R8,Top,0.26,0.48,90
R9,Top,0.22,1.43,0
R10,Bottom,0.2,1.94,180
R11,Bottom,0.32,2,180
R13,Bottom,0.54,1.5,90
R14,Bottom,0.32,1.94,180
RESET,Top,0.48,1.34,0
RN1,Top,0.35,0.275,0
RST,Top,0.36,1.96,180
RX,Top,0.14,1.8,180
U1,Top,0.35,0.9,180
U2,Bottom,0.28,0.5,270
U5,Top,0.44,1.78,270
U6,Bottom,0.4,1.46,180
Y1,Top,0.525,1.53,90
Y2,Top,0.12,1.2,0
Z1,Bottom,0.38,0.26,90
Z2,Bottom,0.3,0.26,90
